cik,entity_id,entityType,sic,sicDescription,name,tickers,exchanges,ein,description,website,investorWebsite,category,fiscalYearEnd,stateOfIncorporation,stateOfIncorporationDescription,Address,phone,formerNames,Location,creation,capital,Employees
HRB 26342 P,HRB 26342 P,N/A,N/A,Beteiligungsgesellschaften,German Deep Tech Innovations AG,N/A,N/A,N/A,N/A,www.germandeeptech.com,N/A,Beteiligungsgesellschaften,"July 13, 2016",Germany,N/A,German Deep Tech Innovations AG Domstr. 12 14482 Potsdam Deutschland,+49 30 9203833710,Quadfolium Innovations AG,N/A,N/A,N/A,4 managers (1 x board member
HRA 6239 P,HRA 6239 P,N/A,N/A,"Kauf und Verkauf von eigenen Wohngrundstücken, Wohngebäuden und Wohnungen",German Deep Tech Assets I. GmbH & Co. KG,N/A,N/A,N/A,N/A,N/A,N/A,"Kauf und Verkauf von eigenen Wohngrundstücken, Wohngebäuden und Wohnungen",N/A,Germany,N/A,German Deep Tech Assets I. GmbH & Co. KG Domstr. 12 14482 Potsdam Deutschland,N/A,Quadfolium-I. Real Estate GmbH & Co. KG,N/A,N/A,N/A,2 partners (1 x limited partner
HRA 7707 P,HRA 7707 P,N/A,N/A,Beteiligungsgesellschaften,German Deep Tech Quantum Capital GmbH & Co. KG,N/A,N/A,N/A,N/A,www.germandeeptech.com,N/A,Beteiligungsgesellschaften,"January 28, 2023",Germany,N/A,German Deep Tech Quantum Capital GmbH & Co. KG Domstr. 12 14482 Potsdam Deutschland,+49 30 9203833710,German Deep Tech Quantum Capital AG & Co. KG,N/A,N/A,N/A,2 partners (1 x limited partner
HRB 43519,HRB 43519,N/A,N/A,Sonstige Softwareentwicklung,Fides Digital Assets Foundation GmbH,N/A,N/A,N/A,N/A,N/A,N/A,Sonstige Softwareentwicklung,"December 11, 2022",Germany,N/A,Fides Digital Assets Foundation GmbH Am Schottenberg 11 01662 MeiÃen Deutschland,+49 3521 839374,N/A,N/A,N/A,N/A,manager (1 x managing director)
